san_pham_id,ten,mo_ta,gia,anh,con_hang,thuong_hieu
4048043,Điện Thoại Bàn Panasonic KX-TS500,Điện Thoại Bàn Panasonic KX-TS500,369000,https://salt.tikicdn.com/cache/280x280/ts/product/e3/71/9a/a23456e6289f71d29205541a8fb7c353.jpg,,Panasonic
1537601,Pin Sạc Dự Phòng Energizer 10.000mAh QC 3.0 UE10015CQ (Màu Ngẫu nhiên),Pin Sạc Dự Phòng Energizer 10.000mAh QC 3.0 UE10015CQ (Màu Ngẫu nhiên),50000,https://salt.tikicdn.com/cache/280x280/ts/product/ca/1d/a8/32dabe3bec14fdce3c3facfe66f8fade.jpg,,Energizer
279314906,Điện thoại Xiaomi Redmi Note 15 Pro 8GB/256GB - Hàng Chính Hãng,Điện thoại Xiaomi Redmi Note 15 Pro 8GB/256GB - Hàng Chính Hãng,7450000,https://salt.tikicdn.com/cache/280x280/ts/product/78/a7/85/3773eb50496787ba9fef3fcc59b6ba56.jpg,,Xiaomi
279302057,Điện Thoại Samsung Galaxy A07 4GB/128GB + Kèm Cốc Sạc 15W - Hàng Chính Hãng,Điện Thoại Samsung Galaxy A07 4GB/128GB + Kèm Cốc Sạc 15W - Hàng Chính Hãng,2939000,https://salt.tikicdn.com/cache/280x280/ts/product/8c/4a/3f/f57b74776a138c5a08c93a97d52a7716.jpg,,Samsung
279277488,Điện thoại Samsung Galaxy A57 5G (8GB/128GB) - Hàng chính hãng,Điện thoại Samsung Galaxy A57 5G (8GB/128GB) - Hàng chính hãng,11999000,https://salt.tikicdn.com/cache/280x280/ts/product/23/48/c0/9a375a1bc375a42ab23dea636da1aed7.jpg,,Samsung
279211779,Điện thoại Samsung Galaxy A07 5G (4GB/128GB) - Hàng chính hãng,Điện thoại Samsung Galaxy A07 5G (4GB/128GB) - Hàng chính hãng,4590000,https://salt.tikicdn.com/cache/280x280/ts/product/64/3d/30/0a4d78f97efb783be62247af49d54db3.jpg,,Samsung
279173456,Điện Thoại Oppo A6 Pro 8GB/128GB - Hàng Chính Hãng,Điện Thoại Oppo A6 Pro 8GB/128GB - Hàng Chính Hãng,7379000,https://salt.tikicdn.com/cache/280x280/ts/product/56/56/26/26fa397f2c064c137340cd7a296445b9.jpg,,OPPO
279122014,Điện thoại Xiaomi Redmi Note 15 Pro (12GB/256GB) - Hàng chính hãng,Điện thoại Xiaomi Redmi Note 15 Pro (12GB/256GB) - Hàng chính hãng,8290000,https://salt.tikicdn.com/cache/280x280/ts/product/71/1b/b5/31fa9050930235106cb867c339cf973a.jpg,,Xiaomi
279077613,Điện thoại OPPO Reno15 5G (12GB/256GB) - Hàng Chính Hãng,Điện thoại OPPO Reno15 5G (12GB/256GB) - Hàng Chính Hãng,16990000,https://salt.tikicdn.com/cache/280x280/ts/product/52/ce/a7/234499a948974330b322f67bd4486365.png,,OPPO
279076946,Điện Thoại Xiaomi Redmi Note 15 6GB/128GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi Note 15 6GB/128GB - Hàng Chính Hãng,4859000,https://salt.tikicdn.com/cache/280x280/ts/product/4e/0a/42/27c58ab806a64ee85268c5b5ae62a35e.jpg,,Xiaomi
