ten_san_pham,thuong_hieu,gia,anh,link
Xiaomi Redmi Note 15 5G 6GB/128GB,Xiaomi,6.790.000₫,https://cdn.tgdd.vn/Products/Images/42/360310/xiaomi-redmi-note-15-5g-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-5g-6gb-128gb
OPPO Find X9 5G 12GB/256GB,OPPO,21.680.000₫,https://cdn.tgdd.vn/Products/Images/42/344655/oppo-find-x9-black-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-find-x9-12gb-256gb
HONOR 400 Lite 12GB/256GB,HONOR,8.130.000₫,https://cdn.tgdd.vn/Products/Images/42/339245/honor-400-lite-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-400-lite
realme C85 8GB/128GB,realme,5.890.000₫,https://cdn.tgdd.vn/Products/Images/42/360344/realme-c85-8gb-128gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c85-8gb-128gb
Motorola G06 POWER 4GB/128GB,Unknown,3.190.000₫,https://cdn.tgdd.vn/Products/Images/42/358226/motorola-g06-power-4gb-128gb-nau-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/motorola-g06-power-4gb-128gb?utm_flashsale=1
iPhone 16 Plus 128GB,Unknown,24.390.000₫,https://cdn.tgdd.vn/Products/Images/42/329138/iphone-16-plus-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-16-plus
iPhone 13 128GB,Unknown,11.990.000₫,https://cdn.tgdd.vn/Products/Images/42/223602/iphone-13-midnight-2-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-13
Samsung Galaxy A17 5G 8GB/128GB,Samsung,5.690.000₫,https://cdn.tgdd.vn/Products/Images/42/341688/galaxy-a17-5g-gray-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a17-5g-8gb-128gb
Xiaomi Redmi Note 15 Pro 5G 8GB/256GB,Xiaomi,9.990.000₫,https://cdn.tgdd.vn/Products/Images/42/360312/xiaomi-redmi-note-15-pro-5g-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-pro-5g-8gb-256gb
OPPO Find X9 Pro 5G 16GB/512GB,OPPO,31.530.000₫,https://cdn.tgdd.vn/Products/Images/42/344652/oppo-find-x9-pro-titan-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-find-x9-pro-16gb-512gb
vivo Y39 5G 8GB/128GB,vivo,6.160.000₫,https://cdn.tgdd.vn/Products/Images/42/339180/vivo-y39-5g-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y39-5g?utm_flashsale=1
realme C85 Pro 8GB/128GB,realme,6.490.000₫,https://cdn.tgdd.vn/Products/Images/42/357832/realme-c85-pro-purple-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c85-pro-8gb-128gb
HONOR 400 5G 12GB/256GB Đen,HONOR,12.250.000₫,https://cdn.tgdd.vn/Products/Images/42/339638/honor-400-5g-12gb-256gb-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-400-5g-12gb-256gb-den
realme C85 5G 8GB/128GB,realme,7.390.000₫,https://cdn.tgdd.vn/Products/Images/42/362760/realme-c85-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c85-5g-8gb-128gb
Motorola G35 5G 4GB/128GB,Unknown,3.890.000₫,https://cdn.tgdd.vn/Products/Images/42/358048/motorola-moto-g35-5g-4gb-128gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/motorola-moto-g35-5g-4gb-128gb?utm_flashsale=1
Samsung Galaxy S25 FE 5G 8GB/128GB,Samsung,12.560.000₫,https://cdn.tgdd.vn/Products/Images/42/342560/samsung-galaxy-s25-fe-navy-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-fe-5g-8gb-128gb
Xiaomi Redmi Note 15 Pro 8GB/256GB,Xiaomi,8.290.000₫,https://cdn.tgdd.vn/Products/Images/42/360307/xiaomi-redmi-note-15-pro-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-pro-8gb-256gb
OPPO A6 Pro 8GB/128GB,OPPO,8.090.000₫,https://cdn.tgdd.vn/Products/Images/42/344651/oppo-a6-pro-4g-pink-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a6-pro-8gb-128gb
vivo Y19s Pro 8GB/128GB,vivo,4.800.000₫,https://cdn.tgdd.vn/Products/Images/42/338918/vivo-y19s-pro-bac-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y19s-pro-8gb
realme 15 Pro 5G 12GB/256GB,realme,12.890.000₫,https://cdn.tgdd.vn/Products/Images/42/343067/realme-15t-pro-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-15-pro-5g-12gb-256gb
realme 15T 5G 8GB/256GB,realme,8.400.000₫,https://cdn.tgdd.vn/Products/Images/42/343063/realme-15t-sliver-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-15t-5g-8gb-256gb
Motorola Edge 60 Fusion 5G 8GB/256GB,Unknown,7.730.000₫,https://cdn.tgdd.vn/Products/Images/42/358224/motorola-edge-60-fusion-8gb-256gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/motorola-edge-60-fusion-8gb-256gb?utm_flashsale=1
Motorola G86 POWER 5G 8GB/128GB,Unknown,6.690.000₫,https://cdn.tgdd.vn/Products/Images/42/358225/motorola-moto-g86-5g-8gb-128gb-xanh-tim-600x600.jpg,https://www.thegioididong.com/dtdd/motorola-moto-g86-5g-8gb-128gb?utm_flashsale=1
Motorola Razr 60 5G 8GB/256GB,Unknown,17.560.000₫,https://cdn.tgdd.vn/Products/Images/42/358223/motorola-razr-60-8gb-256gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/motorola-razr-60-8gb-256gb?utm_flashsale=1
Samsung Galaxy Z Fold7 5G 12GB/256GB,Samsung,40.990.000₫,https://cdn.tgdd.vn/Products/Images/42/338738/samsung-galaxy-z-fold7-black-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold7
